area_sqft,bedrooms,bathrooms,floors,age_years,location_score,price
3446,5,3,1,19,6.23,21933875
712,1,3,2,44,6.62,4978798
1028,1,1,2,8,7.58,9402692
3648,2,2,3,15,2.71,19939022
3108,1,3,1,27,3.36,17267272
975,1,2,3,39,3.19,6509578
3765,1,4,3,45,2.34,19750369
2804,4,4,1,48,3.2,15976099
3267,1,4,1,35,6.52,19306389
3086,3,4,2,38,4.3,17179576
1422,5,2,1,48,7.91,9818819
4379,1,4,2,23,5.83,24096227
1871,1,4,3,15,2.91,11973728
2443,1,3,3,13,5.21,15448900
1987,3,3,2,47,6.34,11922315
4432,1,3,1,33,8.8,25747031
4151,1,1,1,23,8.5,24958329
3740,5,3,2,46,4.84,21581098
4066,3,4,3,10,6.83,25898213
2626,3,2,2,44,3.68,14308953
3214,1,4,1,35,6.7,18837558
4252,3,2,1,0,9.22,27057713
895,2,4,2,46,6.62,7446070
1028,3,1,1,11,3.73,7065785
1665,3,3,3,20,6.8,13246753
4792,3,4,2,8,9.12,29825431
998,4,3,3,38,2.23,7385059
695,4,1,3,2,5.34,8388647
4471,4,1,2,15,3.89,24292121
4660,3,3,2,3,3.17,26884821
2802,2,3,1,25,4.57,16683722
2119,3,2,1,45,4.55,12006480
1017,1,3,2,12,2.89,7345683
3082,2,3,2,19,4.63,17872240
3877,4,2,1,18,6.7,23337641
443,5,4,1,26,1.23,4191964
3440,2,2,1,1,9.9,22501742
4791,4,4,2,9,3.66,27585926
3238,2,4,2,24,6.61,18653672
3936,2,4,1,18,3.55,21990610
3522,3,2,3,14,4.54,20521117
1467,1,2,3,38,5.94,9044570
2916,5,1,1,46,6.51,16543434
1362,4,4,2,48,7.93,10265863
2456,2,2,2,23,8.13,15738526
3282,5,1,3,15,5.67,20127617
3594,2,4,1,16,1.68,19952732
1456,1,2,3,15,6.02,11401711
1032,5,2,3,17,5.3,9346041
4630,4,2,1,48,2.94,24711980
1253,2,3,3,3,1.09,8652796
2839,1,1,2,1,3.84,18219048
3624,5,2,3,48,3.34,19345056
3601,2,3,1,48,5.35,18598426
1842,2,1,2,30,7.85,12897520
1491,4,1,2,1,4.95,11952436
3293,1,3,3,1,9.56,21184873
2981,3,1,2,14,2.99,17226643
1517,2,3,1,47,2.99,9178720
1840,5,4,3,42,6.44,13372275
3536,4,2,2,28,9.07,21536633
2686,4,3,1,33,7.05,16035876
4019,2,1,3,39,7.06,23528017
1688,2,1,1,31,8.26,11219496
2156,2,4,2,20,7.02,15272104
1665,3,4,3,29,7.83,13012426
799,2,4,3,23,8.8,8702831
1980,1,4,2,43,1.07,9703389
810,5,4,1,13,8.97,10683115
4612,2,2,2,27,2.94,23564208
1624,3,3,3,13,9.21,14152062
1455,5,4,3,43,3.4,9572629
2127,4,4,2,33,5.1,13443867
3441,2,2,1,13,9.4,21904316
3786,5,3,2,24,1.99,21989765
2110,4,4,1,11,7.71,15110113
3223,3,3,1,40,4.53,18242762
2514,1,3,3,39,1.22,13257106
4486,2,2,1,19,9.45,26809809
1013,1,2,3,47,2.06,4636350
3902,3,4,1,41,7.97,22586447
4434,5,1,1,6,4.46,26894467
3822,5,2,3,14,8.3,25051791
4568,3,3,1,8,7.75,27989564
1543,3,3,2,3,6.7,13609856
4009,2,4,1,30,9.45,23980636
1381,4,4,3,22,1.89,9502678
755,1,4,3,5,8.19,8874739
1194,1,3,2,27,7.04,9754319
1684,5,2,1,11,3.83,11134271
2258,5,1,2,46,5.91,13895479
3372,2,2,1,21,6.8,20178973
2296,3,1,2,23,7.63,15693924
4585,1,2,3,33,2.68,23779901
804,2,4,3,18,1.92,6845015
1514,5,3,2,23,1.92,10290192
1831,5,1,1,19,3.64,11620912
3740,1,2,1,33,2.39,19644609
1123,5,3,3,46,5.82,8633251
1228,5,1,1,26,4.93,9406709
433,4,1,2,43,9.04,5238358
2405,3,3,2,28,7.46,15773782
3927,5,4,1,0,2.85,24234389
2152,4,3,3,45,1.41,12526751
4475,2,4,3,35,7.38,26147223
3233,5,2,3,42,8.61,20240968
3584,2,2,3,38,7.31,20619701
4598,5,3,3,44,6.79,26205788
3111,1,4,2,45,3.24,16149877
1550,4,2,1,6,5.45,11456432
3812,4,4,2,42,7.52,22725671
1556,1,4,3,19,2.74,9683221
3676,3,4,3,19,5.29,22472295
3786,4,3,1,24,2.05,21180241
3884,2,4,1,42,5.78,22230759
1696,4,3,1,20,6.16,12677028
3937,3,2,2,8,5.82,24132077
3630,2,2,1,26,5.23,20182946
3003,2,1,2,27,6.29,18025921
770,1,1,3,24,9.97,8212615
1653,5,2,2,35,6.6,10867508
3083,1,4,1,33,7.77,18595096
3131,5,4,2,1,2.73,19294311
657,1,2,2,8,5.77,5932164
3319,5,2,2,18,1.07,18667811
967,4,1,1,14,1.28,6380116
4768,2,4,2,20,3.9,26223338
1445,5,2,1,49,5.2,8685649
4485,4,1,2,15,6.18,27236014
4019,3,1,2,1,8.99,24918034
3045,1,4,2,25,7.95,18886586
839,3,1,1,43,3.7,5616143
3079,4,1,1,28,7.69,19610237
4436,3,3,1,32,5.94,24555141
4075,3,2,3,33,8.01,24069805
2808,4,4,1,45,4.7,16596775
3079,2,2,2,26,1.83,16775990
1224,5,3,3,6,6.57,11688417
3256,1,4,1,48,6.01,17437231
1881,5,2,1,14,9.58,14674175
3624,1,1,3,16,2.46,19678221
4785,5,4,3,8,6.91,29382900
555,3,3,1,12,5.27,6515199
2138,2,1,3,31,4.41,12125621
2244,3,3,2,1,8.15,17218262
309,2,1,2,31,8.3,4318884
3171,4,2,2,46,7.43,19042273
1097,1,2,1,19,1.75,6178411
1315,1,2,2,42,4.11,7486414
2124,4,3,3,18,1.42,12301371
4769,5,4,2,45,4.09,26246994
3436,4,2,3,26,6.83,21494681
2493,4,3,2,35,5.67,16215920
523,2,1,3,29,7.33,5798055
4458,4,2,2,10,5.96,25964915
4225,1,1,2,15,6.0,24482694
4300,3,2,2,25,5.6,24763491
1933,2,1,3,29,4.28,11592488
2452,2,3,3,1,5.02,16097586
810,5,2,2,33,2.01,5843486
684,3,3,3,40,8.51,7288485
704,2,3,3,21,9.0,8624790
4913,4,1,1,30,7.9,27851080
4871,2,2,2,20,6.25,27316751
2300,2,4,3,35,6.12,14430560
3056,2,4,3,39,5.23,17093076
1968,5,3,3,22,3.08,13365866
1760,2,1,3,25,4.45,11375596
3936,2,1,1,17,9.91,24392955
3024,5,1,3,14,2.31,19204127
4478,3,2,3,33,5.88,25682041
2348,1,2,1,21,8.8,16232571
4446,5,1,2,27,5.08,25442522
1016,5,4,2,42,6.45,8385778
4844,2,4,1,48,8.45,26530618
4883,2,2,2,6,5.93,28440147
2123,1,1,2,39,7.58,13267508
2381,2,4,1,41,4.13,14021816
3719,4,4,3,23,7.6,23183589
1874,2,2,1,34,1.37,10201400
549,2,2,1,12,2.38,4098046
973,4,4,1,48,6.74,7856081
4833,1,1,1,12,5.04,27006431
2465,4,4,1,30,8.46,17181325
1070,5,4,3,18,4.08,9741996
4262,4,1,2,28,7.9,25537808
4663,3,2,1,21,2.25,25170668
2284,5,1,3,40,9.37,16438274
1377,2,1,1,20,4.77,9216864
535,5,1,3,15,3.08,5801847
688,1,1,2,29,8.1,7319884
3337,1,2,3,4,9.53,20549617
2148,4,4,3,40,9.26,15681756
3114,5,3,2,40,3.14,18030544
3674,2,2,2,5,7.05,22529618
3578,1,1,3,20,5.92,20717363
1552,2,4,1,41,7.53,10765316
4281,3,4,1,49,5.38,23350274
4973,1,1,2,10,5.23,27725383
2422,4,2,1,23,8.94,16976419
4830,3,1,2,27,8.84,27939687
2450,5,4,3,14,8.09,18033730
1629,2,4,3,38,7.34,10856383
1658,1,2,1,45,7.11,9926646
2782,3,3,2,39,1.51,14320912
4842,3,1,1,46,7.75,26837586
2317,1,3,1,18,6.74,14411221
1631,5,4,3,49,3.72,9746553
4644,5,3,1,16,8.38,27827318
4561,4,1,3,2,8.49,27934870
1658,5,1,2,2,9.39,14961758
4937,4,4,1,38,4.77,28111057
3477,3,2,3,27,5.96,20499864
2428,1,2,1,30,9.15,14903282
2480,5,4,2,41,3.85,14839664
437,4,1,1,48,8.17,5795948
3772,3,2,1,46,9.93,22596624
3132,5,3,3,7,6.87,20377518
3879,2,4,2,16,9.85,25646898
3331,3,3,2,34,5.64,19331805
4464,5,1,2,35,2.38,23755029
2893,3,2,1,26,2.58,16732886
4600,1,1,3,39,7.58,25670468
4118,1,3,1,44,1.01,20988528
4438,1,1,1,32,6.96,24455380
4123,2,1,1,49,2.36,20521622
4342,1,4,2,10,9.86,26815947
2206,2,4,3,20,2.47,13444922
1060,1,1,2,5,5.97,8718446
3745,3,4,1,47,7.03,21184950
1199,5,1,1,20,8.38,9851551
4755,5,3,3,27,5.13,27764721
3247,1,4,2,16,9.4,21256597
2019,5,1,1,17,5.32,13591094
580,1,4,1,10,3.27,5931142
3566,1,1,3,45,6.34,19640682
2187,4,4,1,43,6.92,14421224
3566,4,2,2,24,5.57,21255612
966,4,1,2,29,7.6,7826527
4488,2,2,1,24,4.79,25458953
971,4,1,1,6,1.04,7210551
2269,1,2,1,48,3.38,10983736
4456,3,1,3,36,9.51,26107604
3422,4,4,3,45,7.87,21244848
4999,4,2,2,26,2.71,27934638
4200,3,4,2,25,1.6,23033663
823,1,1,1,12,4.16,6698097
2693,2,4,1,23,8.53,18601018
3417,4,1,1,11,1.95,20165240
2893,3,4,3,13,5.89,18952880
2268,1,2,3,8,3.48,14311490
2053,5,1,1,30,7.54,13641636
2596,2,4,1,3,1.0,15254232
2561,3,1,2,18,3.49,15404214
2586,3,1,3,0,7.11,17614321
4502,3,1,1,28,5.92,24564633
3178,4,3,3,44,8.01,19624217
4443,5,1,1,5,2.42,24398838
3944,2,4,1,0,5.78,24837055
4732,1,3,2,24,2.76,25235333
2355,1,4,2,26,6.75,15606191
1576,5,3,2,21,2.18,10162268
3066,3,1,1,16,2.34,16964473
602,3,2,2,28,3.95,5583801
938,3,2,1,2,4.62,9134447
355,3,1,3,16,5.49,5313939
825,3,3,3,1,6.23,8603574
4869,5,4,1,31,5.22,28269891
4423,4,2,2,21,1.41,23493426
2425,2,1,2,38,4.09,14111971
3587,3,1,3,32,1.55,19535860
664,4,3,1,21,2.06,5164899
4921,1,2,1,46,1.84,24328653
1946,5,1,1,3,2.42,12642518
1218,4,2,3,37,8.32,10308130
3097,3,4,3,12,6.65,20429687
1831,3,1,2,22,5.56,11321539
3645,3,1,1,12,7.59,22670313
2206,4,4,1,19,9.65,16541036
3386,3,1,1,32,4.76,18374765
4880,4,3,1,33,4.31,27228951
2375,3,4,3,37,9.8,17387086
1013,1,3,2,28,7.94,8596183
1362,1,4,3,31,7.99,11204662
2276,2,4,2,10,6.4,16050472
1596,3,3,1,17,5.56,11920165
425,3,4,1,44,5.96,4891512
4932,4,2,1,20,6.87,28547413
3896,4,3,1,11,4.39,22765016
3583,3,4,1,38,8.04,23118543
1903,2,3,3,19,9.18,14473338
366,3,4,2,6,6.14,6562943
532,4,4,3,26,4.43,6625181
2456,3,2,1,6,7.26,15887210
1469,4,2,2,1,2.64,11038869
2458,3,2,2,42,9.72,16851906
4506,5,4,1,32,6.92,27309051
1793,4,2,2,20,1.61,11295598
4307,2,3,3,28,5.77,24089922
2772,5,4,3,31,7.75,19109437
2960,3,3,3,44,3.5,15894605
3039,4,2,3,11,1.46,18532619
2061,5,4,2,12,5.4,15355653
3814,2,3,3,38,8.5,22530770
2275,4,1,2,43,3.26,13268718
2662,5,3,1,48,7.45,16562830
1176,5,4,3,39,4.67,9097941
4112,5,1,1,2,1.54,23786650
3748,1,2,3,38,3.74,19959894
